N/A,258
Software engineering and development,120
Agile delivery and governance,109
User research and design,77
Content and publishing,30
Work history,28
Strategy and policy,26
Data science and management,26
Cyber security,26
Change, training and transformation,25
Business support and operations,23
Work as a team with our organisation and other suppliers,18
Marketing, communications and engagement,13
Work as a team with our organisation,8
Not applicable,3
Emerging technologies,2
Work smoothly as a team with our organisation to achieve project goals,2
The project team are expected to work with DTA and partner agency teams in a partnership model with expectation that all members function as one integrated team,2
